threshold,equal_opportunity_difference,average_abs_odds_difference,disparate_impact
0.799,0.985,0.9269999999999999,0.975609756097561
0.798,0.985,0.9269999999999999,0.975609756097561
0.797,0.986,0.9275,0.9766260162601625
0.796,0.986,0.9275,0.9766260162601625
0.795,0.987,0.9295,0.9776422764227642
0.794,0.987,0.9295,0.9776422764227642
0.793,0.987,0.9295,0.9776422764227642
0.792,0.984,0.928,0.9756592292089249
0.791,0.985,0.9295,0.9766734279918864
0.79,0.985,0.9295,0.9766734279918864
0.789,0.985,0.9295,0.9776876267748479
0.788,0.985,0.9295,0.9776876267748479
0.787,0.986,0.93,0.9776876267748479
0.786,0.986,0.93,0.9776876267748479
0.785,0.986,0.9315,0.9776876267748479
0.784,0.986,0.9315,0.9776876267748479
0.783,0.986,0.9315,0.9787018255578093
0.782,0.986,0.9315,0.9787018255578093
0.781,0.986,0.9315,0.9787018255578093
0.78,0.986,0.9315,0.9787018255578093
0.779,0.986,0.9315,0.9787018255578093
0.778,0.987,0.932,0.9787018255578093
0.777,0.987,0.932,0.9787018255578093
0.776,0.987,0.932,0.9787018255578093
0.775,0.987,0.932,0.9787018255578093
0.774,0.987,0.932,0.9797160243407708
0.773,0.988,0.9325,0.9797160243407708
0.772,0.988,0.9325,0.9797160243407708
0.771,0.988,0.9325,0.9797160243407708
0.77,0.988,0.9325,0.9797160243407708
